 #  energy  xx  yy  zz  xy  xz  yz
         2.4310         2.3026         2.1051         0.0230        -2.1231         0.2284        -0.2173
         2.4316         2.8798         1.3173         0.0142        -1.8833         0.1972        -0.1369
         2.4319         3.0735         1.3468         0.0156        -1.9550         0.2186        -0.1419
         2.4323         2.5545         1.7551         0.0217        -1.8926         0.2302        -0.1891
         2.4324         3.6801         1.2877         0.0164        -1.8541         0.2343        -0.1410
         2.4325         3.6338         1.3111         0.0150        -1.8950         0.2262        -0.1349
         2.4332         2.2614         2.1115         0.0218        -2.1175         0.2186        -0.2139
         2.4334         0.4952         0.5006         0.0030         0.4241        -0.0007        -0.0209
         2.4338         2.3198         2.1202         0.0227        -2.1259         0.2284        -0.2151
         2.4339         2.5317         1.7871         0.0216        -1.9113         0.2306        -0.1886
         2.4341         3.1203         1.3263         0.0141        -1.9569         0.2071        -0.1361
         2.4343         0.3599         0.4001         0.0020         0.3340        -0.0056        -0.0185
         2.4343         2.9436         1.2880         0.0132        -1.8729         0.1912        -0.1305
         2.4351         2.5457         1.7246         0.0215        -1.8526         0.2268        -0.1867
         2.4367         0.5076         0.4963         0.0036         0.4301        -0.0040        -0.0251
         2.4371         3.5652         1.2846         0.0143        -1.8412         0.2161        -0.1319
         2.4377         0.4845         0.3337         0.0007         0.3639         0.0086         0.0007
         2.4383         0.4705         0.3150         0.0007         0.3599         0.0020        -0.0036
         2.4384         3.6103         1.2480         0.0141        -1.8120         0.2106        -0.1302
         2.4387         2.6168         1.7975         0.0215        -1.9263         0.2328        -0.1888
         2.4387         2.2297         2.1252         0.0223        -2.0846         0.2215        -0.2146
         2.4389         0.3577         0.4089         0.0019         0.3340        -0.0092        -0.0213
         2.4392         2.7410         1.7959         0.0225        -1.9655         0.2407        -0.1952
         2.4393         2.1878         2.1225         0.0203        -2.0768         0.2065        -0.2072
         2.4396         1.1647         0.6418         0.0012         0.5932        -0.0193        -0.0274
         2.4399         0.7174         0.5135         0.0006         0.5365         0.0069        -0.0027
         2.4404         3.4601         1.2196         0.0134        -1.7548         0.2035        -0.1248
