 #  energy  xx  yy  zz  xy  xz  yz
         0.2253         0.0000         0.0000         0.0000      4469.7639         0.0000      2781.7682
         0.2260         0.0000         0.0000         0.0000      4483.6098         0.0000      2790.3668
         0.2267         0.0000         0.0000         0.0000      4497.4595         0.0000      2798.9678
         0.2273         0.0000         0.0000         0.0000      4511.3132         0.0000      2807.5711
         0.2280         0.0000         0.0000         0.0000      4525.1709         0.0000      2816.1766
         0.2287         0.0000         0.0000         0.0000      4539.0325         0.0000      2824.7845
         0.2293         0.0000         0.0000         0.0000      4552.8980         0.0000      2833.3947
         0.2300         0.0000         0.0000         0.0000      4566.7677         0.0000      2842.0073
         0.2307         0.0000         0.0000         0.0000      4580.6411         0.0000      2850.6222
         0.2313         0.0000         0.0000         0.0000      4594.5185         0.0000      2859.2395
         0.2320         0.0000         0.0000         0.0000      4608.3998         0.0000      2867.8590
         0.2327         0.0000         0.0000         0.0000      4622.2851         0.0000      2876.4809
         0.2333         0.0000         0.0000         0.0000      4636.1744         0.0000      2885.1053
         0.2340         0.0000         0.0000         0.0000      4650.0676         0.0000      2893.7318
         0.2347         0.0000         0.0000         0.0000      4663.9648         0.0000      2902.3607
         0.2353         0.0000         0.0000         0.0000      4677.8661         0.0000      2910.9921
         0.2360         0.0000         0.0000         0.0000      4691.7712         0.0000      2919.6257
         0.2367         0.0000         0.0000         0.0000      4705.6803         0.0000      2928.2617
         0.2373         0.0000         0.0000         0.0000      4719.5935         0.0000      2936.9000
         0.2380         0.0000         0.0000         0.0000      4733.5105         0.0000      2945.5408
         0.2387         0.0000         0.0000         0.0000      4747.4316         0.0000      2954.1838
         0.2393         0.0000         0.0000         0.0000      4761.3566         0.0000      2962.8292
         0.2400         0.0000         0.0000         0.0000      4775.2856         0.0000      2971.4769
         0.2407         0.0000         0.0000         0.0000      4789.2186         0.0000      2980.1270
         0.2413         0.0000         0.0000         0.0000      4803.1558         0.0000      2988.7795
         0.2420         0.0000         0.0000         0.0000      4817.0967         0.0000      2997.4344
         0.2427         0.0000         0.0000         0.0000      4831.0416         0.0000      3006.0915
         0.2433         0.0000         0.0000         0.0000      4844.9907         0.0000      3014.7511
         0.2440         0.0000         0.0000         0.0000      4858.9437         0.0000      3023.4130
         0.2447         0.0000         0.0000         0.0000      4872.9008         0.0000      3032.0773
         0.2453         0.0000         0.0000         0.0000      4886.8617         0.0000      3040.7439
         0.2460         0.0000         0.0000         0.0000      4900.8267         0.0000      3049.4130
