 #  energy  xx  yy  zz  sp  sm
         2.4446         0.0138         0.0200         0.0006         0.0141         0.0197
         2.4448         1.5346         0.8207         0.0011         1.8172         0.5381
         2.4450         0.0804         0.0274         0.0005         0.0899         0.0180
         2.4450         1.9384         2.3715         0.0288         1.4875         2.8224
         2.4456         1.7783         1.0185         0.0016         2.1740         0.6228
         2.4457         3.0838         0.5644         0.0041         3.1432         0.5050
         2.4457         2.5156         1.8126         0.0173         3.1925         1.1357
         2.4458         0.3465         0.0512         0.0020         0.2195         0.1782
         2.4459         1.2867         0.7602         0.0015         0.3108         1.7361
         2.4460         2.2545         0.6480         0.0060         0.2601         2.6423
         2.4470         1.9130         2.3793         0.0272         1.5019         2.7904
         2.4471         3.1429         0.5847         0.0045         3.2195         0.5082
         2.4473         1.3036         0.7640         0.0008         0.3080         1.7597
         2.4474         2.4635         1.9035         0.0156         3.2211         1.1459
         2.4479         0.1373         0.0380         0.0010         0.1032         0.0721
         2.4479         2.1952         0.6279         0.0056         0.2537         2.5694
         2.4483         2.2560         0.6511         0.0062         0.2640         2.6432
         2.4486         2.4586         1.8212         0.0165         3.1783         1.1016
         2.4489         3.0518         0.5677         0.0044         3.1256         0.4939
         2.4490         0.2795         0.0677         0.0018         0.1934         0.1538
         2.4494         1.5737         0.8219         0.0008         1.8312         0.5645
         2.4495         0.0926         0.0373         0.0014         0.1212         0.0088
         2.4496         0.0804         0.0378         0.0004         0.0833         0.0349
         2.4498         1.7711         2.2310         0.0248         1.3932         2.6088
         2.4500         1.6758         0.9501         0.0014         2.0372         0.5886
         2.4501         0.1510         0.0289         0.0008         0.1554         0.0245
         2.4506         1.8375         2.3042         0.0251         1.4645         2.6773
         2.4511         1.2495         1.4491         0.0085         2.6697         0.0288
         2.4519         1.5946         0.8536         0.0008         1.8746         0.5736
         2.4522         2.3461         0.6184         0.0060         0.2948         2.6697
         2.4524         0.2418         0.0608         0.0014         0.2480         0.0547
         2.4525         3.1341         0.5698         0.0046         3.1883         0.5156
         2.4526         0.8172         1.5077         0.0163         0.1664         2.1585
         2.4526         0.1254         0.0033         0.0001         0.0526         0.0762
         2.4528         2.3311         0.6483         0.0064         0.2807         2.6987
         2.4531         3.0812         0.5765         0.0047         3.1615         0.4961
         2.4531         0.2683         0.0355         0.0024         0.0694         0.2344
         2.4537         0.2313         0.0874         0.0009         0.2622         0.0565
         2.4542         0.1349         0.0230         0.0004         0.1060         0.0519
         2.4543         0.3440         0.0449         0.0028         0.0799         0.3090
         2.4546         0.8313         1.5202         0.0153         0.1652         2.1863
         2.4547         2.4481         0.6303         0.0063         0.3135         2.7649
         2.4548         0.9757         1.4780         0.0031         1.9218         0.5319
         2.4548         1.1602         1.3796         0.0080         2.5124         0.0274
         2.4551         3.1122         0.5650         0.0044         3.1645         0.5126
         2.4551         1.2252         1.4527         0.0085         2.6430         0.0349
         2.4553         0.1725         0.0701         0.0009         0.1915         0.0511
         2.4553         0.7717         1.4696         0.0162         0.1562         2.0851
         2.4560         0.2681         0.0232         0.0001         0.1365         0.1548
         2.4561         0.1264         0.1295         0.0001         0.1118         0.1440
         2.4561         0.0907         0.0779         0.0000         0.0668         0.1018
         2.4567         1.0344         1.5559         0.0032         2.0420         0.5482
         2.4568         0.2669         0.0843         0.0008         0.2815         0.0697
         2.4570         0.4232         1.0511         0.0046         0.3223         1.1521
         2.4573         0.4447         1.0787         0.0057         0.3313         1.1922
         2.4574         0.2753         0.0388         0.0022         0.0777         0.2364
         2.4587         0.1996         0.0864         0.0001         0.1509         0.1352
         2.4588         0.3034         0.1173         0.0006         0.2430         0.1776
         2.4589         0.1521         0.0487         0.0000         0.1034         0.0974
